,local_date,device_IMEI,data_count,OdometerStart,OdometerEnd,TotalMileageStart,TotalMileageEnd,KmsTravelled,WeekDay,FuelCostPerUnit,TotalFuelCost,MinFuelReading,MaxFuelReading,MinEngineTemperature,MaxEngineTemperature,MinVehicleSpeed,MaxVehicleSpeed,DoorOpenMovementTimeHrs,EngineTemperatureAbove100Hrs,EngineRPMAbove3000Count,EngineRPMAbove3500Count,EngineRPMAbove3500Hrs,BatteryLessThan30PercTimeHrs,IdleTimeOnIgnitionHrs,HighSpeedAbove120TimeHrs,HighSpeedAbove100TimeHrs,TotalFuelConsumedLtrs,HighSpeedAbove100Count,HighSpeedAbove120Count,TotalRefuelLtrs,AvgFuelConsumedPerKmLtrs,BatteryExcessRestingVoltageTimeHrs
0,2024-01-10,863540061975414,3,3259785,3259805,,,,2,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0
1,2024-01-22,863540062446605,2152,3082821,3124164,,,,0,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.05,0.0,0.0,0.0,0.0,0,0,0.0,,0.3
2,2024-01-23,863540062446605,919,3124337,3137139,,,,1,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0.0,,0.1
3,2024-01-24,863540061975414,798,3255647,3287287,956.0,987.0,31.0,2,2.8,86.8,2.0,64.0,25.0,83.0,1.0,109.0,0.15,0.0,42,0,0.0,0.08,0.05,0.0,0.26666666666666666,26.8,60,0,28.6,0.864516129032258,1.08
4,2024-01-24,863540062446605,1065,3137139,3151820,,,,2,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.82,0.0,0.0,0.0,0.0,0,0,0.0,,0.32
5,2024-01-25,863540061975414,1851,3287287,3348991,987.0,1048.0,61.0,3,2.8,170.79999999999998,1.0,100.0,33.0,83.80000000000001,1.0,116.0,0.25,0.0,37,0,0.0,0.0,5.53,0.0,0.05,155.3,27,0,156.9,2.5459016393442626,5.57
6,2024-01-26,863540061975414,1736,3400837,3447654,1099.0,1145.0,46.0,4,2.8,128.79999999999998,1.0,100.0,81.0,83.0,1.0,98.0,0.3333333333333333,0.0,9,1,0.0,0.0,4.2,0.0,0.0,148.3,0,0,148.0,3.223913043478261,4.2
7,2024-01-26,863540062446605,894,3164723,3177600,,,,4,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.13,0.0,0.0,0.0,0.0,0,0,0.0,,0.08
8,2024-01-27,863540061975414,2960,3447709,3531091,1145.0,1224.0,79.0,5,2.8,221.2,1.0,100.0,80.0,83.0,1.0,104.0,0.7666666666666667,0.0,44,15,0.02,0.0,8.9,0.0,0.016666666666666666,215.0,11,0,219.0,2.721518987341772,8.92
9,2024-01-29,863540061975414,975,3531129,3566877,1224.0,1243.0,19.0,0,2.8,53.199999999999996,2.0,65.0,68.0,81.0,1.0,110.0,0.13333333333333333,0.0,19,0,0.0,0.0,2.97,0.0,0.016666666666666666,49.800000000000004,15,0,47.400000000000006,2.6210526315789475,2.98
